,year,Country,continent,AverageTemperature,AverageTemperatureUncertainty,Latitude,Longitude,GHG,temp_diff,Code,gdp,gdp_test
12786,1960,AFGHANISTAN,Asia,13.985416666666666,0.4418333333333333,33.0,65.0,2253063.0,-0.1671666666666684,AFG,537777811.111111,1075555622.222222
12788,1960,ALGERIA,Africa,23.504083333333337,0.4520833333333333,28.0,3.0,59440258.0,0.170416666666668,DZA,2723593384.78054,5447186769.56108
12797,1960,AUSTRALIA,Oceania,21.2105,0.222,-27.0,133.0,2054327969.0,-0.8876666666666679,AUS,18606786874.23,37213573748.46
12798,1960,AUSTRIA,Europe,6.527083333333334,0.3089166666666667,47.330000000000005,13.33,1930452447.0,-0.3216666666666663,AUT,6592693841.18495,13185387682.3699
12802,1960,BANGLADESH,Asia,25.484250000000003,0.2723333333333333,24.0,90.0,4051911.0,0.4953333333333347,BGD,4274893913.49536,8549787826.99072
12805,1960,BELGIUM,Europe,9.98875,0.2709166666666666,50.830000000000005,4.0,5595713047.0,-0.7053333333333338,BEL,11658722590.99,23317445181.98
12806,1960,BELIZE,North America,25.35158333333333,0.4121666666666666,17.25,-88.75,340752.0,-0.1578333333333326,BLZ,28071888.5622288,56143777.1244576
12807,1960,BENIN,Africa,27.204,0.29375,9.5,2.25,388384.0,-0.1031666666666666,BEN,226195579.35701,452391158.71402
12809,1960,BOLIVIA,South America,20.5945,0.3916666666666666,-17.0,-65.0,10837845.0,-0.5145833333333343,BOL,373879363.595386,747758727.190772
12811,1960,BOTSWANA,Africa,22.15133333333333,0.3666666666666667,-22.0,24.0,0.0,-0.1110833333333367,BWA,30412308.9864012,60824617.9728024
12815,1960,BURKINA FASO,Africa,28.132083333333338,0.2569166666666667,13.0,-2.0,54960.0,-0.2484999999999964,BFA,330442817.168859,660885634.337718
12816,1960,BURUNDI,Africa,20.024833333333333,0.427,-3.5,30.0,75374.0,-0.1291666666666664,BDI,195999990.0,391999980.0
12817,1960,CAMBODIA,Asia,27.172416666666667,0.268,13.0,105.0,1040576.0,-0.1319166666666653,KHM,637142865.714286,1274285731.428572
12818,1960,CAMEROON,Africa,24.50775,0.23775,6.0,12.0,2594082.0,-0.0049166666666629,CMR,614206071.002235,1228412142.00447
12819,1960,CANADA,North America,-4.406833333333334,0.25775,60.0,-95.0,6253579353.0,0.8211666666666657,CAN,40461721692.6468,80923443385.2936
12822,1960,CENTRAL AFRICAN REPUBLIC,Africa,25.402500000000003,0.313,7.0,21.0,186864.0,0.0005833333333384,CAF,112155598.949571,224311197.899142
12823,1960,CHAD,Africa,27.5235,0.4305833333333333,15.0,19.0,117248.0,0.5551666666666648,TCD,313582729.426485,627165458.85297
12824,1960,CHILE,South America,9.754166666666666,0.3730833333333334,-30.0,-71.0,319156937.0,0.3975833333333334,CHL,4110000000.0,8220000000.0
12825,1960,CHINA,Asia,6.890916666666667,0.2309166666666666,35.0,105.0,5084879564.0,-0.1487499999999997,CHN,59716467625.3148,119432935250.6296
12827,1960,COLOMBIA,South America,24.94683333333333,0.2995833333333333,4.0,-72.0,197287661.0,-0.0713333333333352,COL,4031152976.63904,8062305953.27808
12829,1960,COSTA RICA,North America,25.896416666666667,0.366,10.0,-84.0,4440768.0,-0.0979166666666664,CRI,507513829.994855,1015027659.98971
12840,1960,DOMINICAN REPUBLIC,North America,26.08375,0.3580833333333333,19.0,-70.67,8755504.0,0.0162499999999994,DOM,672399700.0,1344799400.0
12841,1960,ECUADOR,South America,21.8235,0.3346666666666666,-2.0,-77.5,33502190.0,-0.1728333333333367,ECU,2069465326.41882,4138930652.83764
12851,1960,FIJI,Oceania,25.169916666666666,0.33675,-18.0,175.0,1835664.0,-0.1845833333333359,FJI,112328422.113084,224656844.226168
12852,1960,FINLAND,Europe,1.7759166666666666,0.2539166666666666,64.0,26.0,231639266.0,-0.8110000000000002,FIN,5224102195.52771,10448204391.05542
12853,1960,FRANCE,Europe,10.657583333333331,0.2763333333333333,46.0,2.0,14366243265.0,-0.7784166666666668,FRA,62225478000.8822,124450956001.7644
12856,1960,GABON,Africa,24.530833333333334,0.2265833333333333,-1.0,11.75,153888.0,0.0864166666666648,GAB,141468978.376811,282937956.753622
12859,1960,GHANA,Africa,26.825416666666666,0.2600833333333333,8.0,-2.0,12109520.0,-0.0591666666666697,GHA,1217230038.26781,2434460076.53562
