,Country,continent,gdp,AverageTemperature,GHG,temp_diff,gdp_test
0,AFGHANISTAN,Asia,1.87,14.078185606060606,331116344.0,0.71,3.74
1,ALBANIA,Europe,2.23,13.13476388888889,3119427008.0,1.18,4.46
2,ALGERIA,Africa,31.24,23.38204365079365,32370420781.0,1.39,62.48
3,ANDORRA,Europe,1.2,12.118604166666666,33470640.0,-0.37,2.4
4,ANGOLA,Africa,7.2,22.3550350877193,2340390990.0,0.53,14.4
5,ANTIGUA AND BARBUDA,North America,0.42,26.969216666666668,262401024.0,0.99,0.84
6,ARGENTINA,South America,116.71,15.03383125,113431737361.0,0.4,233.42
7,ARMENIA,Asia,1.72,9.427909722222223,2134834833.0,0.66,3.44
8,ARUBA,North America,1.16,28.46303125,458720784.0,0.75,2.32
9,AUSTRALIA,Oceania,178.09,21.932113095238094,237090226935.0,-0.31,356.18
10,AUSTRIA,Europe,91.94,6.615986111111111,123614193698.0,0.34,183.88
11,AZERBAIJAN,Asia,3.28,12.108833333333333,17784741604.0,1.14,6.56
12,BAHRAIN,Asia,4.95,26.427060606060607,5577921299.0,0.62,9.9
13,BANGLADESH,Asia,21.26,25.221676587301587,5766347459.0,0.35,42.52
14,BARBADOS,North America,1.66,26.92408630952381,465628561.0,0.43,3.32
15,BELARUS,Europe,14.92,6.973120370370371,25246921264.0,0.72,29.84
16,BELGIUM,Europe,116.89,9.87315873015873,335242136774.0,-0.15,233.78
17,BELIZE,North America,0.27,25.450859126984124,151286560.0,0.01,0.54
18,BENIN,Africa,1.24,27.417611111111107,333660392.0,0.37,2.48
19,BHUTAN,Asia,0.26,12.210079545454546,28101176.0,-0.02,0.52
20,BOLIVIA,South America,3.88,21.27778968253968,3420526882.0,0.13,7.76
21,BOSNIA AND HERZEGOVINA,Europe,3.72,11.235979166666667,3819757675.0,0.42,7.44
22,BOTSWANA,Africa,2.52,22.316075,509746672.0,0.27,5.04
23,BRAZIL,South America,271.82,25.134083333333333,134142264642.0,0.75,543.64
24,BULGARIA,Europe,16.56,10.900791666666667,50118296561.0,0.61,33.12
25,BURKINA FASO,Africa,1.61,28.37554365079365,242725391.0,0.35,3.22
26,BURUNDI,Africa,0.68,20.305305555555556,96239236.0,0.36,1.36
27,CAMBODIA,Asia,1.74,27.015274305555554,272396836.0,-0.4,3.48
28,CAMEROON,Africa,6.31,24.55553373015873,1637547190.0,0.14,12.62
29,CANADA,North America,325.41,-4.628180555555555,564678748755.0,2.13,650.82
30,CENTRAL AFRICAN REPUBLIC,Africa,0.66,25.467083333333335,129126688.0,0.31,1.32
31,CHAD,Africa,0.99,27.317585317460313,124367152.0,0.67,1.98
32,CHILE,South America,28.69,9.774755952380954,33609993567.0,0.46,57.38
33,CHINA,Asia,335.4,7.0118849206349205,1219352841332.0,0.56,670.8
34,COLOMBIA,South America,36.97,25.12838293650794,38672880457.0,0.39,73.94
35,COMOROS,Africa,0.33,26.150045454545456,24241024.0,0.49,0.66
36,COSTA RICA,North America,4.85,25.976833333333335,1751027458.0,0.12,9.7
37,CROATIA,Europe,23.64,12.127107142857142,4089515297.0,-0.7,47.28
38,CUBA,North America,21.18,25.84613020833333,22407802186.0,0.2,42.36
39,CYPRUS,Asia,5.03,19.14083024691358,2115033925.0,1.17,10.06
40,CZECH REPUBLIC,Europe,53.79,8.538763888888889,68952533573.0,-0.61,107.58
